RXCUI_drug,TTY_drug,drug_name,RXCUI_ing,TTY_ing,ingredient_name
1361402,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Backaid IPF],161,IN,acetaminophen
1424377,SCD,acetaminophen 250 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1430133,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 10 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,161,IN,acetaminophen
1432488,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Capsule,161,IN,acetaminophen
1438297,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Uricalm Intensive],161,IN,acetaminophen
1536477,SCD,acetaminophen 250 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Effervescent Oral Tablet,161,IN,acetaminophen
1536882,SCD,acetaminophen 250 MG / phenylephrine hydrochloride 5 MG Effervescent Oral Tablet,161,IN,acetaminophen
1536924,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Effervescent Oral Tablet,161,IN,acetaminophen
1536931,SCD,acetaminophen 250 MG / chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Effervescent Oral Tablet,161,IN,acetaminophen
1536999,SCD,acetaminophen 250 MG / dextromethorphan hydrobromide 10 MG / doxylamine succinate 6.25 MG / phenylephrine hydrochloride 5 MG Effervescent Oral Tablet,161,IN,acetaminophen
1593110,SCD,acetaminophen 250 MG / aspirin 250 MG / diphenhydramine citrate 38 MG Oral Tablet,161,IN,acetaminophen
1593116,SBD,acetaminophen 250 MG / aspirin 250 MG / diphenhydramine citrate 38 MG Oral Tablet [Excedrin PM Triple Action],161,IN,acetaminophen
1595631,SCD,acetaminophen 250 MG / brompheniramine maleate 2 MG Oral Tablet,161,IN,acetaminophen
1944113,SBD,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Arthriten Max],161,IN,acetaminophen
2103293,SCD,acetaminophen 250 MG / caffeine 50 MG Oral Tablet,161,IN,acetaminophen
2387532,SCD,acetaminophen 250 MG / ibuprofen 125 MG Oral Tablet,161,IN,acetaminophen
