brand_name,ingredient_name
Allegra Cooling Relief Anti-Itch,diphenhydramine
Allegra-D,fexofenadine
Allegra-D,pseudoephedrine
Aller-Chlor,chlorpheniramine
Aller-Cort,triamcinolone
Aller-Flo,fluticasone
Aller-Tec,cetirizine
Aller-Tec D,pseudoephedrine
Aller-Tec D,cetirizine
AllerNaze,triamcinolone
Allercaine,benzalkonium
Allercaine,lidocaine
Allerclear,pseudoephedrine
Allerclear,loratadine
Allercon,triprolidine
Allercon,pseudoephedrine
Allerest 12 Hour Nasal Spray,oxymetazoline
Allerest Eye Drops,naphazoline
Allerfrim,pseudoephedrine
Allerfrim,triprolidine
Allerfrin with Codeine,triprolidine
Allerfrin with Codeine,codeine
Allerfrin with Codeine,pseudoephedrine
Allergen Ear,antipyrine
Allergen Ear,benzocaine
Allergia-C,diphenhydramine
Allerhist-1,clemastine
Allerhist-D,clemastine
Allerhist-D,phenylpropanolamine
Allerlief,chlorpheniramine
Allermax,diphenhydramine
Alleroff,cetirizine
Allersol,naphazoline
Allersol A,naphazoline
Allersol A,pheniramine
Allerx DF AM,methscopolamine
Allerx DF AM,chlorpheniramine
Allerx-D,methscopolamine
Allerx-D,pseudoephedrine
Allfen,guaifenesin
Allfen C,carbetapentane
Allfen C,guaifenesin
Allfen CD,guaifenesin
Allfen CD,codeine
Allfen CDX,codeine
Allfen CDX,guaifenesin
Allfen CX,carbetapentane
Allfen CX,guaifenesin
Allfen Jr,guaifenesin
Allfen Reformulated Mar 2007,guaiacolsulfonate
Allfen Reformulated Mar 2007,guaifenesin
Alli,orlistat
Alloxate,meloxicam
Allres G,carbetapentane
Allres G,guaifenesin
Allzital,acetaminophen
Allzital,butalbital
Almacone,magnesium hydroxide
Almacone,aluminum hydroxide
Almacone,simethicone
Almazine,lorazepam
Almodan,amoxicillin
Almora,magnesium gluconate
Alo,histamine
Alo,menthol
Alocaine,lidocaine
Alocane,lidocaine
Alocane Anti-Itch,hydrocortisone
Alocane Max Strength,lidocaine
Alocane Max Strength,benzalkonium
Alocane Plus,lidocaine
Alocane Plus,benzalkonium
Alocril,nedocromil
Alodox,doxycycline
Aloe Cort,hydrocortisone
Aloe Vesta,miconazole
Aloe Vesta Antifungal,miconazole
Aloe Vesta Daily Moisturizer,dimethicone
Aloe Vesta Protective Barrier,petrolatum
Aloe Vesta Skin Conditioner,dimethicone
Aloe-Dip,iodine
AloeMint,menthol
Aloeguard,chloroxylenol
Aloetouch,dimethicone
Aloh-Gel,aluminum hydroxide
Alomide,lodoxamide
Alophen,phenolphthalein
Alophen Reformulated Jan 2008,bisacodyl
Aloprim,allopurinol
Aloquin,iodoquinol
Aloquin,aloe polysaccharide
Alor,aspirin
Alor,hydrocodone
Alora,estradiol
Aloral,allopurinol
Aloxi,palonosetron
Alpain,phenyltoloxamine
Alpain,acetaminophen
Alpha-caine,benzocaine
Alphadine,povidone-iodine
Alphagan,brimonidine
Alphanate,factor VIII
Alphanate,von Willebrand factor
Alphanine SD,factor IX
Alphaparin,certoparin
Alphaquin HP,hydroquinone
Alphatrex,betamethasone
Alphavase,prazosin
Alphen,codeine
Alphen,guaifenesin
Alphen,phenylpropanolamine
Alphodith,anthralin
Alprazolam Intensol,alprazolam
Alprolix,coagulation factor IX recombinant immunoglobulin G1 fusion protein
Alrex,loteprednol etabonate
Alrheumat,ketoprofen
Alsuma,sumatriptan
Altabax,retapamulin
Altacaine,tetracaine
Altace,ramipril
Altacite,hydrotalcite
Altafed,triprolidine
Altafed,pseudoephedrine
Altafluor,fluorescein
Altafluor,benoxinate
Altalube,petrolatum
Altalube,mineral oil
Altamist,sodium chloride
Altaryl,diphenhydramine
Altazine,tetrahydrozoline
Altenol,acetaminophen
Alternagel,aluminum hydroxide
Alti Cefuroxime,cefuroxime
Altinac,tretinoin
Altocor,lovastatin
Altoprev,lovastatin
Altorant,guaifenesin
Altren,altrenogest
Altreno,tretinoin
Altresyn,altrenogest
Altuviiio,"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein"
Alu-Cap,aluminum hydroxide
Alu-Tab,aluminum hydroxide
Aluline,allopurinol
Alunbrig,brigatinib
Alupent,metaproterenol
Alupram,diazepam
Alustra,hydroquinone
Aluvea,urea
Aluzine,furosemide
Alvaiz,eltrombopag
Alverin Plus,clorsulon
Alverin Plus,ivermectin
Alvesco,ciclesonide
Alyftrek,deutivacaftor
Alyftrek,vanzacaftor
Alyftrek,tezacaftor
Alyglo,immunoglobulin G
Alymsys,bevacizumab
Alyq,tadalafil
Am-Thav,ethaverine
AmBisome,amphotericin B
AmLactin AP,pramoxine
AmLactin AP,lactate
Amaryl,glimepiride
Ambenyl,codeine
Ambenyl,bromodiphenhydramine
Ambi,guaifenesin
Ambi Even & Clear,salicylic acid
Ambien,zolpidem
Ambifed CD,codeine
Ambifed CD,guaifenesin
Ambifed CD,pseudoephedrine
Ambifed-G CD,codeine
Ambifed-G CD,pseudoephedrine
Ambifed-G CD,guaifenesin
Amcort,triamcinolone
Ameluz,aminolevulinic acid
Amen,medroxyprogesterone
Amend,polysulfated glycosaminoglycan
Amerfresh Antibacterial,triclocarban
Amerge,naratriptan
Americaine,benzocaine
Americaine Anesthetic Lubricant,benzocaine
Americaine Hemorrhoidal,benzocaine
Americaine Otic,benzocaine
American Crew Antidandruff,zinc pyrithione
Americet,acetaminophen
Americet,butalbital
Americet,caffeine
Amerithroid,thyroid (USP)
Amevive,alefacept
Amficot,ampicillin
Ami-rax,ephedrine
Ami-rax,hydroxyzine
Ami-rax,theophylline
Amicar,6-aminocaproic acid
Amidate,etomidate
Amidox,amiodarone
Amidrine,isometheptene
Amidrine,dichloralphenazone
Amidrine,acetaminophen
Amigesic,salsalate
Amikin,amikacin
Amilac,calcium carbonate
Amilamont,amiloride
Amimax,amikacin
Aminess 5.2,leucine
Aminess 5.2,histidine
Aminess 5.2,lysine
Aminess 5.2,isoleucine
Aminess 5.2,phenylalanine
Aminess 5.2,threonine
Aminess 5.2,tryptophan
Aminess 5.2,methionine
Aminess 5.2,valine
Amino-Cerv,cysteine
Amino-Cerv,inositol
Amino-Cerv,sodium propionate
Amino-Cerv,methionine
Amino-Cerv,urea
Amino-Opti-E,vitamin E
Aminomine,tryptophan
"Aminosyn 10%, Sulfite-Free",leucine
"Aminosyn 10%, Sulfite-Free",threonine
"Aminosyn 10%, Sulfite-Free",tryptophan
"Aminosyn 10%, Sulfite-Free",proline
"Aminosyn 10%, Sulfite-Free",valine
"Aminosyn 10%, Sulfite-Free",phenylalanine
"Aminosyn 10%, Sulfite-Free",methionine
"Aminosyn 10%, Sulfite-Free",glycine
"Aminosyn 10%, Sulfite-Free",lysine
"Aminosyn 10%, Sulfite-Free",histidine
"Aminosyn 10%, Sulfite-Free",arginine
"Aminosyn 10%, Sulfite-Free",alanine
"Aminosyn 10%, Sulfite-Free",tyrosine
"Aminosyn 10%, Sulfite-Free",serine
"Aminosyn 10%, Sulfite-Free",isoleucine
"Aminosyn 3.5 % M, Sulfite Free",phosphoric acid
"Aminosyn 3.5 % M, Sulfite Free",magnesium acetate
"Aminosyn 3.5 % M, Sulfite Free",proline
"Aminosyn 3.5 % M, Sulfite Free",sodium chloride
"Aminosyn 3.5 % M, Sulfite Free",alanine
"Aminosyn 3.5 % M, Sulfite Free",arginine
"Aminosyn 3.5 % M, Sulfite Free",glycine
"Aminosyn 3.5 % M, Sulfite Free",histidine
"Aminosyn 3.5 % M, Sulfite Free",isoleucine
"Aminosyn 3.5 % M, Sulfite Free",leucine
"Aminosyn 3.5 % M, Sulfite Free",potassium acetate
"Aminosyn 3.5 % M, Sulfite Free",lysine
"Aminosyn 3.5 % M, Sulfite Free",serine
"Aminosyn 3.5 % M, Sulfite Free",threonine
"Aminosyn 3.5 % M, Sulfite Free",tryptophan
"Aminosyn 3.5 % M, Sulfite Free",tyrosine
"Aminosyn 3.5 % M, Sulfite Free",valine
"Aminosyn 3.5 % M, Sulfite Free",methionine
"Aminosyn 3.5 % M, Sulfite Free",phenylalanine
"Aminosyn 3.5%, Sulfite-Free",serine
"Aminosyn 3.5%, Sulfite-Free",threonine
"Aminosyn 3.5%, Sulfite-Free",leucine
"Aminosyn 3.5%, Sulfite-Free",glycine
"Aminosyn 3.5%, Sulfite-Free",proline
"Aminosyn 3.5%, Sulfite-Free",phenylalanine
"Aminosyn 3.5%, Sulfite-Free",histidine
"Aminosyn 3.5%, Sulfite-Free",isoleucine
"Aminosyn 3.5%, Sulfite-Free",arginine
"Aminosyn 3.5%, Sulfite-Free",alanine
"Aminosyn 3.5%, Sulfite-Free",tryptophan
"Aminosyn 3.5%, Sulfite-Free",methionine
"Aminosyn 3.5%, Sulfite-Free",valine
"Aminosyn 3.5%, Sulfite-Free",tyrosine
"Aminosyn 3.5%, Sulfite-Free",lysine
"Aminosyn 5%, Sulfite-Free",alanine
"Aminosyn 5%, Sulfite-Free",tyrosine
"Aminosyn 5%, Sulfite-Free",arginine
"Aminosyn 5%, Sulfite-Free",glycine
"Aminosyn 5%, Sulfite-Free",leucine
"Aminosyn 5%, Sulfite-Free",valine
"Aminosyn 5%, Sulfite-Free",isoleucine
"Aminosyn 5%, Sulfite-Free",lysine
"Aminosyn 5%, Sulfite-Free",methionine
"Aminosyn 5%, Sulfite-Free",phenylalanine
"Aminosyn 5%, Sulfite-Free",proline
"Aminosyn 5%, Sulfite-Free",serine
"Aminosyn 5%, Sulfite-Free",threonine
"Aminosyn 5%, Sulfite-Free",tryptophan
"Aminosyn 5%, Sulfite-Free",histidine
"Aminosyn 7 % with Electrolytes, Sulfite-Free",magnesium chloride
"Aminosyn 7 % with Electrolytes, Sulfite-Free","sodium phosphate, dibasic"
"Aminosyn 7 % with Electrolytes, Sulfite-Free",serine
